Week,Student,Fn,X1,X2,X3,X4,X5,X6,X7,X8,Y
02,479,3,0.999999,0.00103,0.704731,,,,,,-0.12215826356318858
02,479,4,0.547926,0.159624,0.005285,0.374962,,,,,-11.71925968917903
02,479,5,0.106288,0.106288,0.159432,0.106288,,,,,128.53517459359998
02,479,6,0.050837,0.05046,0.135756,0.69054,0.0889,,,,-1.2641094120292824
02,479,7,0.576248,0.747426,0.975236,0.753286,0.853075,0.642975,,,0.0698735633134345
02,479,8,0.654932,0.875357,0.875258,0.875378,0.764965,0.875356,0.864246,0.864123,7.4969
02,484,1,0.045,0.69,,,,,,,-5.4402083940482293e-42
02,484,2,0.784126,0.961904,,,,,,,0.06164111310213315
02,484,3,0.466666,0.111111,0.533333,,,,,,-0.129336489254978
02,484,4,0.4375,0.4375,0.375,0.4375,,,,,-27.32432156242579
02,484,5,0.25,0.875,0.875,0.875,,,,,8662.405001248297
02,484,6,0.111111,0.222222,0.222222,0.0,0.0,,,,-0.43502570044121947
02,484,7,0.0,0.4,0.4,0.2,0.4,0.8,,,0.0926552163570807
02,484,8,0.0,0.333333,0.0,0.333333,0.666666,0.333333,0.333333,0.333333,9.6205231444431
